📺央视频道,#genre#
新疆卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226460/index.m3u8?IASHttpSessionId=
兵团卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226439/index.m3u8?IASHttpSessionId=
康巴卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221225660/index.m3u8?IASHttpSessionId=
延边卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221226516/index.m3u8?IASHttpSessionId=
北京纪实科教,http://39.134.68.155:6610/PLTV/88888888/224/3221225729/index.m3u8?IASHttpSessionId=
北京少儿,http://39.134.68.155:6610/PLTV/88888888/224/3221225654/index.m3u8?IASHttpSessionId=
山东教育卫视,http://39.134.68.155:6610/PLTV/88888888/224/3221225655/index.m3u8?IASHttpSessionId=

☘️黑龙江频道,#genre#
黑龙江都市,http://39.134.68.155:6610/PLTV/88888888/224/3221226301/index.m3u8?IASHttpSessionId=
黑龙江都市,http://39.134.68.155:6610/PLTV/88888888/224/3221226427/index.m3u8?IASHttpSessionId=
黑龙江农业科教,http://39.134.68.155:6610/PLTV/88888888/224/3221226242/index.m3u8?IASHttpSessionId=
黑龙江农业科教,http://39.134.68.155:6610/PLTV/88888888/224/3221226492/index.m3u8?IASHttpSessionId=
黑龙江少儿,http://39.134.68.155:6610/PLTV/88888888/224/3221226304/index.m3u8?IASHttpSessionId=
黑龙江少儿,http://39.134.68.155:6610/PLTV/88888888/224/3221226371/index.m3u8?IASHttpSessionId=
黑龙江文体,http://39.134.68.155:6610/PLTV/88888888/224/3221226239/index.m3u8?IASHttpSessionId=
黑龙江文体,http://39.134.68.155:6610/PLTV/88888888/224/3221226424/index.m3u8?IASHttpSessionId=
黑龙江新闻法治,http://39.134.68.155:6610/PLTV/88888888/224/3221226330/index.m3u8?IASHttpSessionId=
黑龙江新闻法治,http://39.134.68.155:6610/PLTV/88888888/224/3221226368/index.m3u8?IASHttpSessionId=
黑龙江影视,http://39.134.68.155:6610/PLTV/88888888/224/3221226298/index.m3u8?IASHttpSessionId=
黑龙江影视,http://39.134.68.155:6610/PLTV/88888888/224/3221226365/index.m3u8?IASHttpSessionId=
哈尔滨生活,http://39.134.68.155:6610/PLTV/88888888/224/3221226526/index.m3u8?IASHttpSessionId=
哈尔滨新闻综合,http://39.134.68.155:6610/PLTV/88888888/224/3221226558/index.m3u8?IASHttpSessionId=
哈尔滨新闻综合,http://39.134.68.155:6610/PLTV/88888888/224/3221226434/index.m3u8?IASHttpSessionId=
哈尔滨影视,http://39.134.68.155:6610/PLTV/88888888/224/3221226552/index.m3u8?IASHttpSessionId=
齐齐哈尔经济法治,http://39.134.68.155:6610/PLTV/88888888/224/3221226493/index.m3u8?IASHttpSessionId=
齐齐哈尔经济法治,http://39.134.68.155:6610/PLTV/88888888/224/3221226555/index.m3u8?IASHttpSessionId=
齐齐哈尔新闻综合,http://39.134.68.155:6610/PLTV/88888888/224/3221226413/index.m3u8?IASHttpSessionId=
齐齐哈尔新闻综合,http://39.134.68.155:6610/PLTV/88888888/224/3221226437/index.m3u8?IASHttpSessionId=
牡丹江新闻综合,http://39.134.68.155:6610/PLTV/88888888/224/3221226422/index.m3u8?IASHttpSessionId=
佳木斯新闻综合,http://39.134.68.155:6610/PLTV/88888888/224/3221226451/index.m3u8?IASHttpSessionId=
大庆教育,http://39.134.68.155:6610/PLTV/88888888/224/3221226523/index.m3u8?IASHttpSessionId=
大庆新闻综合,http://39.134.68.155:6610/PLTV/88888888/224/3221226484/index.m3u8?IASHttpSessionId=
鹤岗新闻综合,http://39.134.68.155:6610/PLTV/88888888/224/3221226496/index.m3u8?IASHttpSessionId=
鹤岗新闻综合,http://39.134.68.155:6610/PLTV/88888888/224/3221226534/index.m3u8?IASHttpSessionId=
双鸭山新闻综合,http://39.134.68.155:6610/PLTV/88888888/224/3221226502/index.m3u8?IASHttpSessionId=
双鸭山新闻综合,http://39.134.68.155:6610/PLTV/88888888/224/3221226529/index.m3u8?IASHttpSessionId=
鸡西新闻法治,http://39.134.68.155:6610/PLTV/88888888/224/3221226410/index.m3u8?IASHttpSessionId=
鸡西安全生活,http://39.134.68.155:6610/PLTV/88888888/224/3221226481/index.m3u8?IASHttpSessionId=
伊春新闻综合,http://39.134.68.155:6610/PLTV/88888888/224/3221226416/index.m3u8?IASHttpSessionId=
大兴安岭新闻综合,http://39.134.68.155:6610/PLTV/88888888/224/3221226499/index.m3u8?IASHttpSessionId=
漠河综合,http://39.134.68.155:6610/PLTV/88888888/224/3221226535/index.m3u8?IASHttpSessionId=
哈哈炫动,http://39.134.68.155:6610/PLTV/88888888/224/3221225657/index.m3u8?IASHttpSessionId=
金鹰卡通,http://39.134.68.155:6610/PLTV/88888888/224/3221225653/index.m3u8?IASHttpSessionId=
优漫卡通,http://39.134.68.155:6610/PLTV/88888888/224/3221225656/index.m3u8?IASHttpSessionId=
爱情戏剧,http://39.134.68.155:6610/PLTV/88888888/224/3221225669/index.m3u8?IASHttpSessionId=
超级电视剧,http://39.134.68.155:6610/PLTV/88888888/224/3221225716/index.m3u8?IASHttpSessionId=
超级电影,http://39.134.68.155:6610/PLTV/88888888/224/3221225717/index.m3u8?IASHttpSessionId=
超级综艺,http://39.134.68.155:6610/PLTV/88888888/224/3221225714/index.m3u8?IASHttpSessionId=
潮妈辣婆,http://39.134.68.155:6610/PLTV/88888888/224/3221225685/index.m3u8?IASHttpSessionId=
哒啵赛事,http://39.134.68.155:6610/PLTV/88888888/224/3221225675/index.m3u8?IASHttpSessionId=
动作电影,http://39.134.68.155:6610/PLTV/88888888/224/3221225661/index.m3u8?IASHttpSessionId=
古装剧场,http://39.134.68.155:6610/PLTV/88888888/224/3221225663/index.m3u8?IASHttpSessionId=
黑莓电影,http://39.134.68.155:6610/PLTV/88888888/224/3221225743/index.m3u8?IASHttpSessionId=
黑莓动画,http://39.134.68.155:6610/PLTV/88888888/224/3221225662/index.m3u8?IASHttpSessionId=
欢乐剧场,http://39.134.68.155:6610/PLTV/88888888/224/3221225742/index.m3u8?IASHttpSessionId=
家庭剧场,http://39.134.68.155:6610/PLTV/88888888/224/3221225677/index.m3u8?IASHttpSessionId=
金牌综艺,http://39.134.68.155:6610/PLTV/88888888/224/3221225666/index.m3u8?IASHttpSessionId=
惊悚悬疑,http://39.134.68.155:6610/PLTV/88888888/224/3221225665/index.m3u8?IASHttpSessionId=
精品大剧,http://39.134.68.155:6610/PLTV/88888888/224/3221225670/index.m3u8?IASHttpSessionId=
精品记录,http://39.134.68.155:6610/PLTV/88888888/224/3221225672/index.m3u8?IASHttpSessionId=
精品萌宠,http://39.134.68.155:6610/PLTV/88888888/224/3221226505/index.m3u8?IASHttpSessionId=
精品体育,http://39.134.68.155:6610/PLTV/88888888/224/3221225674/index.m3u8?IASHttpSessionId=
军旅剧场,http://39.134.68.155:6610/PLTV/88888888/224/3221225676/index.m3u8?IASHttpSessionId=
武博世界,http://39.134.68.155:6610/PLTV/88888888/224/3221225680/index.m3u8?IASHttpSessionId=
炫舞未来,http://39.134.68.155:6610/PLTV/88888888/224/3221225719/index.m3u8?IASHttpSessionId=
